english	german	french	spanish	xhosa	afrikaans
to accuse	beschuldigen	accuser	acusar	yokulumangalela	te beskuldig
to celebrate	feiern	célébrer	celebrar	ukubhiyzela	te vier
to disturb	stören	déranger	molestar	ukuphazamisa	steur
to file	einordnen	classer	archivar	kwifayile	om te liasseer
to light	anzünden	éclairer	iluminar	ekukhanyeni	om lig te gee
to promote	befördern	promouvoir	promover	ukuthengisa	om te bevorder
to sail	segeln	naviguer	navegar	ukuba kudlulwe	te vaar
to switch	wechseln	commuter	cambiar	ukuya kula desktop	om te verander
to advise	beraten	conseiller	aconsejar	ukuze icebise	te adviseer
to combine	kombinieren	combiner	combinar	ukudibanisa	te kombineer
to dominate	dominieren	dominer	dominar	ukuyongamela	oorheers
to fire	feuern	virer	disparar	ukuba umlilo	om te vuur
to list	auflisten	lister	listar	ukudwelisa	om 'n lys
to question	in Frage stellen	questionner	interrogar	ukuthandabuza	bevraagteken
to satisfy	befriedigen	satisfaire	satisfacer	ukwanelisa	om te voldoen aan
to taste	schmecken	goûter	probar	ukungcamla	om te proe
to appoint	ernennen	nommer	nombrar	ukuqesha	om aan te stel
to comment	kommentieren	commenter	comentar	ukuba izimvo	om kommentaar te lewer
to doubt	zweifeln	douter	dudar	ukuba bathandabuze	om te twyfel
to fix	reparieren	Réparer	fijar	ukulungisa	om reg te maak
to lock	abschließen	verrouiller	bloquear	ukutshixa	te sluit
to race	rennen	faire la course	competir	nobuhlanga	van ras
to score	punkten	marquer	calificar	ukuba amanqaku	teken punte aan
to tear	reißen	pleurer	rasgar	ukukrazula	skeur
to appreciate	wertschätzen	apprécier	apreciar	siqonde	om te waardeer
to conclude	schlussfolgern	de conclure	concluir	ukushwankathela	in afsluiting
to dream	träumen	rêver	soñar	ukuba iphupha	om te droom
to flow	fließen	couler	fluir	ukuba iqukuqele	om te vloei
to maintain	aufrecht erhalten	Maintenir	mantener	ukugcina	te onderhou
to recommend	empfehlen	recommander	recomendar	kungacetyiswa ukuba	om aan te beveel
to search	suchen	chercher	buscar	ukukhangela	om te soek
to threaten	bedrohen	Menacer	amenazar	ukuze oyikise	om te dreig
to approach	sich nähern	s'approcher	acercarse	ukusondela	te benader
