english	spanish	german	french	arabic
ability	capacidad	Fähigkeit	capacité	القدرة
acceptance	aceptación	Akzeptanz	acceptation	قبول
acid	ácido	Säure	acide	حامض
activity	actividad	Aktivität	activité	نشاط
adult	adulto	Erwachsene	adulte	بالغ
advantage	ventaja	Vorteil	avantage	ميزة
afternoon	tarde	Nachmittag	après-midi	بعد الظهر
agency	agencia	Agentur	agence	وكالة
agreement	acuerdo	Vereinbarung	accord	اتفاقية
aircraft	aeronave	Flugzeug	avion	الطائرات
analysis	análisis	Analyse	analyse	تحليل
anxiety	ansiedad	Sorge	anxiété	قلق
appearance	apariencia	Aussehen	apparence	مظهر
approach	enfoque	Ansatz	approche	مقاربة
april	abril	April	avril	نيسان
area	zona	Bereich	zone	منطقة
army	ejército	Armee	armée	جيش
arrival	llegada	Ankunft	arrivée	وصول
artist	artista	Künstler	artiste	فنان
assembly	montaje	Montage	assemblage	تجميع
assessment	valoración	Beurteilung	évaluation	تقدير
assistance	asistencia	Unterstützung	assistance	مساعدة
assumption	asunción	Annahme	supposition	افتراض
atmosphere	ambiente	Atmosphäre	atmosphère	الغلاف الجوي
august	agosto	August	août	آب
authority	autoridad	Autorität	autorité	سلطة
autumn	otoño	Herbst	automne	الخريف
background	fondo	Hintergrund	Contexte	خلفية
ball	pelota	Ball	balle	كرة
bank	banco	Bank	banque	بنك
basis	base	Grundlage	base	أساس
bath	baño	Bad	bain	حمام
beauty	belleza	Schönheit	beauté	الجمال
bed	cama	Bett	lit	السرير
belief	creencia	Glaube	croyance	إيمان
bird	pájaro	Vogel	oiseau	طائر
birth	nacimiento	Geburt	naissance	الولادة
blood	sangre	Blut	sang	دم
body	cuerpo	Körper	corps	الجسم
boy	chico	Junge	garçon	صبي
breath	respiración	Atem	respiration	تنفس
brother	hermano	Bruder	frère	أخ
building	edificio	Gebäude	bâtiments	البنايات
business	negocio	Unternehmen	affaires	عمل
buyer	comprador	Käufer	acheteur	مشترى
cake	pastel	Kuchen	gâteau	كعكة
candidate	candidato	Bewerber	candidat	مرشح
captain	capitán	Kapitän	capitaine	نقيب
car	coche	Auto	voiture	سيارة
card	tarjeta	Karte	carte	بطاقة
career	carrera	Karriere	carrière	مهنة
case	caso	Fall	cas	حالة
castle	castillo	Schloss	château	قلعة
category	categoría	Kategorie	catégorie	فئة
cattle	ganado	Rinder	bétail	ماشية
center	centro	Zentrum	centre	مركز
century	siglo	Jahrhundert	siècle	قرن
certificate	certificado	Zertifikat	certificat	شهادة
chapter	capítulo	Kapitel	chapitre	باب
character	personaje	Zeichen	personnage	حرف
charity	caridad	Nächstenliebe	charité	مؤسسة خيرية
cheese	queso	Käse	fromage	جبن
chest	pecho	Brust	poitrine	صدر
child	niño	Kind	enfant	طفل
childhood	infancia	Kindheit	enfance	طفولة
children	niños	Kinder	enfants	الأطفال
christmas	navidad	Weihnachten	noël	عيد ميلاد
church	iglesia	Kirche	église	كنيسة
circle	círculo	Kreis	cercle	دائرة
citizen	ciudadano	Bürger	citoyen	مواطن
city	ciudad	Stadt	ville	مدينة
class	clase	Klasse	classe	فئة
climate	clima	Klima	climat	مناخ
coal	carbón	Kohle	charbon	فحم
colleague	colega	Kollege	collègue	زميل
column	columna	Spalte	colonne	عمود
commitment	compromiso	Verpflichtung	engagement	التزام
committee	comité	Ausschuss	comité	لجنة
community	comunidad	Gemeinde	communauté	مجتمع
company	empresa	Gesellschaft	compagnie	شركة
competition	competición	Wettbewerb	compétition	منافسة
component	componente	Komponente	composant	مكون
confidence	confianza	Vertrauen	confiance	الثقة
