english	german	french	xhosa	afrikaans
ability	Fähigkeit	capacité	ukwazi	vermoë
acceptance	Akzeptanz	acceptation	ulwamkelo	aanvaarding
acid	Säure	acide	iasidi	suur
activity	Aktivität	activité	umsebenzi	aktiwiteit
adult	Erwachsene	adulte	Mntu omdala	volwassene
advantage	Vorteil	avantage	uncedo	voordeel
afternoon	Nachmittag	après-midi	Jikalanga	middag
agency	Agentur	agence	iarhente	mag
agreement	Vereinbarung	accord	isivumelwano	ooreenkoms
aircraft	Flugzeug	avion	inqwelo-moya	lugvaartuig
analysis	Analyse	analyse	uhlalutyo	ontleding
anxiety	Sorge	anxiété	ixhala	angs
appearance	Aussehen	apparence	imbonakalo	voorkoms
approach	Ansatz	approche	ukusondela	benadering
april	April	avril	UTshazimpuzi	April
area	Bereich	zone	ummandla	area
army	Armee	armée	umkhosi	weermag
arrival	Ankunft	arrivée	ukufika	aankoms
artist	Künstler	artiste	igcisa	kunstenaar
assembly	Montage	assemblage	indibano	vergadering
assessment	Beurteilung	évaluation	uvavanyo	assessering
assistance	Unterstützung	assistance	uncedo	hulp
assumption	Annahme	supposition	Ukugqibela	aanname
atmosphere	Atmosphäre	atmosphère	umoya	atmosfeer
august	August	août	EyeThupha	Augustus
authority	Autorität	autorité	igunya	gesag
autumn	Herbst	automne	ukwindla	herfs
background	Hintergrund	Contexte	imvelaphi	agtergrond
ball	Ball	balle	ibhola	bal
bank	Bank	banque	ibhanki	bank
basis	Grundlage	base	isiseko	basis
bath	Bad	bain	ibhafu	bad
beauty	Schönheit	beauté	ubuhle	skoonheid
bed	Bett	lit	ibhedi	bed
belief	Glaube	croyance	inkolo	geloof
bird	Vogel	oiseau	intaka	voël
birth	Geburt	naissance	ukuzalwa	geboorte
blood	Blut	sang	igazi	bloed
body	Körper	corps	umzimba	liggaam
boy	Junge	garçon	inkwenkwe	seuntjie
breath	Atem	respiration	umphefumlo	asem
brother	Bruder	frère	ubhuti	broer
building	Gebäude	bâtiments	isakhiwo	gebou
business	Unternehmen	affaires	ishishini	besigheid
buyer	Käufer	acheteur	umthengi	koper
cake	Kuchen	gâteau	ikeyiki	koek
candidate	Bewerber	candidat	umgqatswa	kandidaat
captain	Kapitän	capitaine	ikhapteni	kaptein
car	Auto	voiture	imoto	voertuig
card	Karte	carte	ikhadi	kaart
career	Karriere	carrière	umsebenzi	beroep
case	Fall	cas	ityala	geval
castle	Schloss	château	inqaba	kasteel
category	Kategorie	catégorie	udidi	kategorie
cattle	Rinder	bétail	iinkomo	beeste
center	Zentrum	centre	Isizikithi/Iziko	sentrum
century	Jahrhundert	siècle	inkulungwane	eeu
certificate	Zertifikat	certificat	Isatifiketi	sertifikaat
chapter	Kapitel	chapitre	isahluko	hoofstuk
character	Zeichen	personnage	umlinganiswa	karakter
charity	Nächstenliebe	charité	isisa	liefdadigheid
cheese	Käse	fromage	itshizi	kaas
chest	Brust	poitrine	isifuba	bors
child	Kind	enfant	umntwana	kind
childhood	Kindheit	enfance	ubuntwana	kinderjare
children	Kinder	enfants	abantwana	kinders
christmas	Weihnachten	noël	Krisimesi	Kersfees
church	Kirche	église	icawe	kerk
circle	Kreis	cercle	isangqa	sirkel
citizen	Bürger	citoyen	ummi	burger
city	Stadt	ville	isixeko	Stad
class	Klasse	classe	Umngangatho/Igumbi loku fundela	klas
climate	Klima	climat	Imo yemozulu	klimaat
coal	Kohle	charbon	amalahle	steenkool
colleague	Kollege	collègue	umlingane	kollega
column	Spalte	colonne	intsika	kolom
commitment	Verpflichtung	engagement	ukuzibophelela	verpligting
committee	Ausschuss	comité	ikomiti	komitee
community	Gemeinde	communauté	uluntu	gemeenskap
company	Gesellschaft	compagnie	inkampani	maatskappy
competition	Wettbewerb	compétition	ukhuphiswano	kompetisie
component	Komponente	composant	ilungu	komponent
confidence	Vertrauen	confiance	ukuzithemba	vertroue
congress	Kongress	congrès	inkongolo	kongres
core	Kern	noyau	umbilini	kern
council	Rat	comité	ibhunga	Raad
country	Land	pays	ilizwe	land
countryside	ländlicher Raum	campagne	emaphandleni	platteland
county	Bezirk	comté	okwilizwe	prefektuur
course	Kurs	cours	Isifundo	kursus
creation	Schaffung	création	indalo	skepping
criteria	Kriterien	critères	neenqobo	kriteria
critic	Kritiker	critique	mhlalutyi	kritikus
criticism	Kritik	critique	ukugxekwa	kritiek
currency	Währung	devise	imali	geldeenheid
customer	Kunde	client	umthengi	kliënt
darkness	Dunkelheit	obscurité	ubumnyama	duisternis
data	Daten	données	idata	data
daughter	Tochter	fille	Ntwazana	dogter
day	Tag	jour	usuku	dag
death	Tod	décès	ukufa	dood
debt	Schuld	dette	ityala	skuld
decade	Jahrzehnt	décennie	ishumi leminyaka	dekade
december	Dezember	décembre	Eyomnga	Desember
defendant	Angeklagter	défendeur	ummangalelwa	verweerder
definition	Definition	définition	inkcazelo	definisie
degree	Grad	degré	iqondo	graad
delivery	Lieferung	livraison	Ukuzisa	aflewering
democracy	Demokratie	démocratie	Nkululeko	demokrasie
depth	Tiefe	profondeur	ubunzulu	diepte
desk	Schreibtisch	bureau	idesika	lessenaar
difficulty	Schwierigkeit	difficulté	ubunzima	moeilikheid
disaster	Katastrophe	désastre	intlekele	ramp
disease	Krankheit	maladie	isifo	siekte
door	Tür	porte	ucango	deur
driver	Fahrer	conducteur	umqhubi	bestuurder
duty	Pflicht	devoir	uxanduva	plig
ear	Ohr	oreille	indlebe	oor
earnings	Ertrag	bénéfices	imivuzo	verdienste
earth	Erde	terre	umhlaba	aarde
east	Osten	est	Mpuma langa	oos
economics	Wirtschaftlichkeit	économie	Economics	Ekonomie
economy	Wirtschaft	économie	uqoqosho	ekonomie
effect	Wirkung	effet	isiphumo	effek
efficiency	Leistungsfähigkeit	efficacité	impumelelo	doeltreffendheid
egg	Ei	œuf	iqanda	eier
emergency	Notfall	urgence	Ngxamiseko	nood
employee	Mitarbeiter	employé	umqeshwa	werknemer
employer	Arbeitgeber	employeur	umqeshi	werkgewer
employment	Beschäftigung	emploi	ingqesho	indiensneming
enemy	Feind	ennemi	utshaba	vyand
energy	Energie	énergie	amandla	energie
engine	Motor	moteur	injini	enjin
engineering	Ingenieurwesen	ingénierie	zobunjineli	ingenieurswese
enterprise	Unternehmen	entreprise	lweshishini	onderneming
entrance	Eingang	entrée	Ukungena	ingang
entry	Eintrag	entrée	ukungena	inskrywing
equation	Gleichung	équation	equation	vergelyking
equipment	Ausrüstung	équipement	izixhobo	toerusting
evaluation	Auswertung	évaluation	novavanyo	evaluering
evening	Abend	soirée	ngokuhlwa	aand
event	Ereignis	événement	isiganeko	gebeurtenis
evidence	Beweis	preuve	ubungqina	bewyse
examination	Prüfung	examen	uviwo	eksamen
example	Beispiel	exemple	umzekelo	byvoorbeeld
exchange	Austausch	échange	utshintshiselwano	ruil
executive	Führungskraft	exécutif	Isigqeba	uitvoerende
exhibition	Ausstellung	exposition	umboniso	uitstalling
expectation	Erwartung	attente	ukulindela	verwagting
expenditure	Ausgaben	dépense	inkcitho	uitgawes
key	Schlüssel	mesure	isitshixo	sleutel
fact	Tatsache	fait	inyaniso	feit
factory	Fabrik	usine	ifektri	fabriek
failure	Scheitern	échec	ukusilela	mislukking
faith	Glaube	conviction	ukholo	geloof
family	Familie	famille	usapho	gesin
farmer	Bauer	agriculteur	Umlimi	boer
february	Februar	février	EyoMdumba	Februarie
fee	Gebühr	frais	intlawulo	fooi
field	Feld	champ	intsimi	gebied
findings	Ergebnisse	résultats	ezifunyanisiweyo	bevindings
firm	Betrieb	firme	qinile	firma
meat	Fleisch	chair	inyama	vleis
flight	Flug	vol	ukubhabha	vlug
food	Lebensmittel	nourriture	ukutya	kos
foot	Fuß	pied	unyawo	voet
forest	Wald	forêt	ihlathi	bos
foundation	Gründung	fondation	isiseko	Stigting
framework	Rahmenwerk	cadre	sikhokelo	raamwerk
freedom	Freiheit	liberté	inkululeko	vryheid
frequency	Häufigkeit	fréquence	sokuquqa	frekwensie
friend	Freund	ami	umhlobo	vriend
furniture	Möbel	meubles	Mpahla	meubels
future	Zukunft	futur	ikamva	toekoms
game	Spiel	jeu	umdlalo	spel
gentleman	Gentleman	gentleman	inene	gentleman
gift	Geschenk	cadeau	isipho	geskenk
girl	Mädchen	fille	intombazana	meisie
glass	Glas	verre	iglasi	glas
glasses	Brille	lunettes	iiglasi	bril
god	Gott	dieu	uThixo	God
gold	Gold	or	igolide	goud
goods	Waren	biens	impahla	goedere
grass	Gras	herbe	ingca	gras
growth	Wachstum	croissance	ukukhula	groei
guest	Gast	invité	undwendwe	gas
guitar	Gitarre	guitare	Ikatara/Siginci	kitaar
gun	Gewehr	pistolet	umpu	geweer
hair	Haar	cheveux	iinwele	hare
health	Gesundheit	santé	impilo	gesondheid
heart	Herz	cœur	intliziyo	hart
height	Höhe	hauteur	ukuphakama	hoogte
hell	Hölle	enfer	isihogo	hel
hill	Hügel	colline	induli	Hill
history	Geschichte	histoire	imbali	geskiedenis
hole	Loch	trou	umngxuma	gat
horse	Pferd	cheval	ihashe	perd
hour	Stunde	heure	yure	uur
housing	Unterkunft	logement	izindlu	behuising
hundred	Hundert	cent	ikhulu	honderd
identity	Identität	identité	yesazisi	identiteit
illness	Krankheit	maladie	isigulo	siekte
income	Einkommen	revenu	ingeniso	inkomste
industry	Industrie	industrie	ishishini	bedryf
injury	Verletzung	blessure	ukwenzakala	besering
institute	Institut	institut	iziko	Instituut
insurance	Versicherung	assurance	inshorensi	versekering
island	Insel	île	isiqithi	eiland
jacket	Jacke	veste	ibhatyi	baadjie
january	Januar	janvier	EyoMqungu	Januarie
job	Arbeit	emploi	umsebenzi	werk
judgement	Urteil	jugement	isigwebo	oordeel
july	Juli	juillet	EyeKhala	Julie
june	Juni	juin	Isilimela	Junie
king	König	roi	ukumkani	koning
kingdom	Königreich	royaume	ubukumkani	koninkryk
kitchen	Küche	cuisine	ikhitshi	kombuis
knee	Knie	genou	idolo	knie
knife	Messer	couteau	imela	mes
work	Arbeit	travail	umsebenzi	werk
laboratory	Labor	laboratoire	ilabhoratri	laboratorium
lady	Dame	dame	inenekazi	dame
